イベント名,開催期間,画像URL,詳細URL
「141」エコ・プロジェクト,2/26 11:00～ 3/10 4:59,https://img.gamewith.jp/img/28fda59e9a803ebb061c22f06cbd51f6.png,https://gamewith.jp/zenless/458673
今日のおすすめ,2/21 11:00～ 3/3 4:59,https://img.gamewith.jp/img/ec1b1bbdb64a268dc0bc14bcf2a71fd7.png,https://gamewith.jp/zenless/485646
零号ホロウ：厄災の芽を摘む,2/17 5:00 ～ 3/3 4:59,https://img.gamewith.jp/img/7b3ab06703f1b76c655596ff79542944.png,https://gamewith.jp/zenless/485280
エルピス最強釣り師決定戦,2/14 11:00～ 3/10 4:59,https://img.gamewith.jp/img/53a80a7f4fd8772ab11a0329d90f537b.png,https://gamewith.jp/zenless/484900
公開オーディション,2/12 13:00 〜 3/11 15:59,https://img.gamewith.jp/img/0c75a9a446276ad95a33512f8e93176c.png,
棚から「ンナンナ」,2/12 11:00～ 3/11 4:59,https://img.gamewith.jp/img/e244867cdcf7dc22c805f768270b3fa3.jpg,
星々からの新春祝い,1/29 11:00 ～ 3/11 4:59,https://img.gamewith.jp/img/7fe34011aafc249b5a2ba3369fa4f87a.png,
願いがきらめく日,1/23 11:00 ～ 3/10 4:59,https://img.gamewith.jp/img/ed2f6a4fb57bf10ce9c9cecff0fcbb4d.png,https://gamewith.jp/zenless/482930
響き合う旋律,1/22 ～ 3/10 4:59,https://img.gamewith.jp/img/e1ac4dda4f873cec267c629b8d841b72.png,https://gamewith.jp/zenless/483074
サメ少女エレンの悩み,1/22 ～ 3/10 4:59,https://img.gamewith.jp/img/13463e3be70ba11e3589ff365bfb050b.png,https://gamewith.jp/zenless/483096
煌めくプレリュード,1/22 ～ 3/11 4:59,https://img.gamewith.jp/img/b4445f41bb647b950a36a624810ae09a.png,
スペシャルゲスト,12/18 ～ 2025/3/12 6:59,https://img.gamewith.jp/img/20d70654c818397a807aa13184b44be8.png,
【予定】データ懸賞-模擬実戦,3/5 5:00 ～ 3/10 4:59,https://img.gamewith.jp/img/b5fb1d4b1a8ba678f549762e0a54075f.png,https://gamewith.jp/zenless/455961
